execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance
55,2023-09-07 16:04:48.218533,37.8,73.7,409920,12,True,33.0
77,2023-09-07 16:04:48.302800,42.9,73.7,409920,12,True,32.0
56,2023-09-07 16:04:48.386447,38.0,73.7,409920,12,True,30.0
62,2023-09-07 16:04:48.470071,40.3,73.7,409920,12,True,47.0
62,2023-09-07 16:04:48.553702,40.6,73.7,409920,12,True,27.0
71,2023-09-07 16:04:48.639028,41.0,73.7,409920,12,True,52.0
64,2023-09-07 16:04:48.723156,41.2,73.7,409920,12,True,33.0
64,2023-09-07 16:04:48.807136,41.2,73.7,409920,12,True,35.0
67,2023-09-07 16:04:48.891224,42.4,73.7,409920,12,True,24.0
76,2023-09-07 16:04:48.975422,42.6,73.7,409920,12,True,46.0
66,2023-09-07 16:04:49.059134,41.9,73.7,409920,12,True,24.0
60,2023-09-07 16:04:49.143611,39.6,73.7,409920,12,True,35.0
61,2023-09-07 16:04:49.228155,40.0,73.7,409920,12,True,20.0
62,2023-09-07 16:04:49.311954,40.3,73.7,409920,12,True,29.0
60,2023-09-07 16:04:49.395813,39.8,73.7,409920,12,True,14.0
62,2023-09-07 16:04:49.479518,40.3,73.7,409920,12,True,21.0
64,2023-09-07 16:04:49.563344,41.2,73.7,409920,12,True,4.0
70,2023-09-07 16:04:49.647457,43.3,73.7,409920,12,True,5.0
69,2023-09-07 16:04:49.731339,42.9,73.7,409920,12,True,3.0
68,2023-09-07 16:04:49.815005,42.8,73.7,409920,12,True,5.0
64,2023-09-07 16:04:49.898924,41.2,73.7,409920,12,True,2.0
60,2023-09-07 16:04:49.982980,39.6,73.7,409920,12,True,7.0
62,2023-09-07 16:04:50.066782,40.3,73.7,409920,12,True,11.0
58,2023-09-07 16:04:50.150261,38.8,73.7,409920,12,True,17.0
68,2023-09-07 16:04:50.234644,42.6,73.7,409920,12,True,19.0
66,2023-09-07 16:04:50.318813,42.1,73.7,409920,12,True,26.0
60,2023-09-07 16:04:50.403119,39.7,73.7,409920,12,True,20.0
61,2023-09-07 16:04:50.487562,40.0,73.7,409920,12,True,22.0
62,2023-09-07 16:04:50.572042,40.4,73.7,409920,12,True,31.0
62,2023-09-07 16:04:50.655969,40.3,73.7,409920,12,True,20.0
62,2023-09-07 16:04:50.739499,40.6,73.7,409920,12,True,32.0
65,2023-09-07 16:04:50.823623,41.5,73.7,409920,12,True,24.0
49,2023-09-07 16:04:50.907484,38.3,73.7,409920,12,True,36.0
60,2023-09-07 16:04:50.992403,39.7,73.7,409920,12,True,20.0
60,2023-09-07 16:04:51.076228,39.8,73.7,409920,12,True,29.0
63,2023-09-07 16:04:51.159850,40.7,73.7,409920,12,True,20.0
62,2023-09-07 16:04:51.243546,40.3,73.7,409920,12,True,32.0
65,2023-09-07 16:04:51.327297,41.5,73.7,409920,12,True,22.0
68,2023-09-07 16:04:51.411180,42.6,73.7,409920,12,True,33.0
62,2023-09-07 16:04:51.494864,40.6,73.7,409920,12,True,22.0
59,2023-09-07 16:04:51.578670,39.2,73.7,409920,12,True,31.0
